PKey,company_name,state,zip_code,full_time_employees,company_category,business_model,agency_name,agency_abbrev,agency_type,used_by
487,InfoCommerce Group,PA,19004,10,Research&Consulting,Business to Business,Multiple government open data sources,,Other,InfoCommerce Group
488,Informatica,CA,94063,5000,Data&Technology,Business to Business,Department of Defense,DOD,Federal,Informatica
489,InnoCentive,MA,2451,200,Scientific Research,Academia,Multiple government open data sources,,Other,InnoCentive
490,Innography,TX,78746,200,Business&LegalServices,Business to Business,Department of Commerce,USDC,Federal,Innography
491,Innography,TX,78746,200,Business&LegalServices,Business to Business,Department of Commerce,USDC,Federal,Innography
492,Innography,TX,78746,200,Business&LegalServices,Business to Business,Department of Health and Human Services,HHS,Federal,Innography
493,Innography,TX,78746,200,Business&LegalServices,Business to Business,Securities and Exchange Commission,SEC,Federal,Innography
494,Innography,TX,78746,200,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,Innography
495,Innovest Systems,NY,10014,200,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,Innovest Systems
496,Inovalon,MD,20716,5000,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,Inovalon
497,Inrix Traffic,WA,98033,500,Transportation,Business to Consumer,Department of Commerce,USDC,Federal,Inrix Traffic
498,Inrix Traffic,WA,98033,500,Transportation,Business to Consumer,Department of Commerce,USDC,Federal,Inrix Traffic
499,Intelius,WA,0,200,Business&LegalServices,Business to Consumer,Multiple government open data sources,,Other,Intelius
500,Intermap Technologies,CO,80112,200,Geospatial&Mapping,Business to Government,National Aeronautics and Space Administration,NASA,Federal,Intermap Technologies
501,Intermap Technologies,CO,80112,200,Geospatial&Mapping,Business to Government,National Aeronautics and Space Administration,NASA,Federal,Intermap Technologies
502,Investormill,NY,10003,10,Finance&Investment,Business to Business,Department of Labor,DOL,Federal,Investormill
503,Investormill,NY,10003,10,Finance&Investment,Business to Business,Department of Labor,DOL,Federal,Investormill
504,Investormill,NY,10003,10,Finance&Investment,Business to Business,Department of Labor,DOL,Federal,Investormill
505,Investormill,NY,10003,10,Finance&Investment,Business to Business,Department of Labor,DOL,Federal,Investormill
506,Investormill,NY,10003,10,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,Investormill
507,Investormill,NY,10003,10,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,Investormill
508,Investormill,NY,10003,10,Finance&Investment,Business to Business,Department of Energy,DOE,Federal,Investormill
509,Investormill,NY,10003,10,Finance&Investment,Business to Business,Department of Energy,DOE,Federal,Investormill
510,Investormill,NY,10003,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Investormill
511,Investormill,NY,10003,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Investormill
512,Investormill,NY,10003,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Investormill
513,Investormill,NY,10003,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Investormill
514,Investormill,NY,10003,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Investormill
515,Investormill,NY,10003,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Investormill
516,Investormill,NY,10003,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Investormill
517,Iodine,CA,94107,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Iodine
518,Iodine,CA,94107,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Iodine
519,Iodine,CA,94107,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Iodine
520,Iodine,CA,94107,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Iodine
521,Iodine,CA,94107,10,Healthcare,Business to Consumer,Department of Veterans Affairs,VA,Federal,Iodine
522,IPHIX,VA,22046,10,Data&Technology,Business to Government,Securities and Exchange Commission,SEC,Federal,IPHIX
523,IPHIX,VA,22046,10,Data&Technology,Business to Government,Multiple government open data sources,,Other,IPHIX
524,iRecycle,AZ,85257,10,Environment&Weather,Business to Business,Department of Commerce,USDC,Federal,iRecycle
525,iRecycle,AZ,85257,10,Environment&Weather,Business to Business,Department of Commerce,USDC,Federal,iRecycle
526,iTriage,CO,80202,200,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,iTriage
527,iTriage,CO,80202,200,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,iTriage
528,iTriage,CO,80202,200,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,iTriage
529,iTriage,CO,80202,200,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,iTriage
530,iTriage,CO,80202,200,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,iTriage
531,iTriage,CO,80202,200,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,iTriage
532,iTriage,CO,80202,200,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,iTriage
533,IVES Group Inc,MA,1590,50,Data&Technology,Business to Business,Department of Labor,DOL,Federal,IVES Group Inc
534,IVES Group Inc,MA,1590,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IVES Group Inc
535,IVES Group Inc,MA,1590,50,Data&Technology,Business to Business,Executive Office of the President,EOP,Federal,IVES Group Inc
536,IVES Group Inc,MA,1590,50,Data&Technology,Business to Business,Securities and Exchange Commission,SEC,Federal,IVES Group Inc
537,IVES Group Inc,MA,1590,50,Data&Technology,Business to Business,Administrative Office of the United States Courts,AO,Federal,IVES Group Inc
538,IVES Group Inc,MA,1590,50,Data&Technology,Business to Business,Multiple federal data sources,,Federal,IVES Group Inc
539,IW Financial,ME,4102,50,Finance&Investment,Business to Business,Department of Homeland Security,DHS,Federal,IW Financial
540,IW Financial,ME,4102,50,Finance&Investment,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,IW Financial
541,IW Financial,ME,4102,50,Finance&Investment,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,IW Financial
542,JJ Keller,WI,54957,5000,Business&LegalServices,Business to Business,Department of Labor,DOL,Federal,JJ Keller
543,JJ Keller,WI,54957,5000,Business&LegalServices,Business to Business,Department of Labor,DOL,Federal,JJ Keller
544,J.P. Morgan Chase,NY,10017,10001,Finance&Investment,Business to Government,Multiple government open data sources,,Other,J.P. Morgan Chase
545,"Junar, Inc.",TX,75070,10,Data&Technology,Academia,California,CA,State,"Junar, Inc."
546,"Junar, Inc.",TX,75070,10,Data&Technology,Academia,Palo Alto,PA,City/County,"Junar, Inc."
547,"Junar, Inc.",TX,75070,10,Data&Technology,Academia,Multiple city and local data sources,,City/County,"Junar, Inc."
548,Junyo,CA,94025,50,Education,Business to Government,Department of Education,ED / DOED,Federal,Junyo
549,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Commodity Futures Trading Commission,CFTC,Federal,Jurispect
550,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Consumer Financial Protection Bureau,CFPB,Federal,Jurispect
551,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Department of Agriculture,USDA,Federal,Jurispect
552,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Department of Energy,DOE,Federal,Jurispect
553,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Department of Justice,DOJ,Federal,Jurispect
554,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Department of the Treasury,,Federal,Jurispect
555,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Department of Transportation,DOT,Federal,Jurispect
556,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Federal Communications Commission,FCC,Federal,Jurispect
557,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Federal Reserve Board,FED,Federal,Jurispect
558,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,Securities and Exchange Commission,SEC,Federal,Jurispect
559,Jurispect,CA,94043,10,Business&LegalServices,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Jurispect
560,Kaiser Permanante,CA,94612,10001,Healthcare,Business to Consumer,Department of Commerce,USDC,Federal,Kaiser Permanante
561,Kaiser Permanante,CA,94612,10001,Healthcare,Business to Consumer,Multiple city and local data sources,,City/County,Kaiser Permanante
562,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Commerce,USDC,Federal,karmadata
563,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Commerce,USDC,Federal,karmadata
564,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
565,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
566,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
567,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
568,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
569,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
570,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
571,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
572,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
573,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
574,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
575,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
576,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
577,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
578,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
579,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
580,karmadata,MA,2043,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,karmadata
581,Keychain Logistics Corp.,CA,94107,10,Transportation,Business to Consumer,Department of Transportation,DOT,Federal,Keychain Logistics Corp.
582,"KidAdmit, Inc.",CA,94107,10,Education,Business to Consumer,California,CA,State,"KidAdmit, Inc."
583,Kimono Labs,CA,94110,10,Data&Technology,Business to Business,Department of Labor,DOL,Federal,Kimono Labs
584,KLD Research,NY,10005,200,Finance&Investment,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,KLD Research
585,Knoema,DC,20000,200,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Knoema
586,Knowledge Agency,NY,10001,10,Research&Consulting,Business to Business,Multiple federal data sources,,Federal,Knowledge Agency
587,KPMG,NY,10154,10001,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,KPMG
588,Kroll Bond Ratings Agency,NY,10022,200,Finance&Investment,Business to Business,Department of the Treasury,,Federal,Kroll Bond Ratings Agency
589,Kroll Bond Ratings Agency,NY,10022,200,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,Kroll Bond Ratings Agency
590,Kyruus,MA,2110,200,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,Kyruus
591,Lawdragon,NY,10017,50,Business&LegalServices,Business to Business,California,CA,State,Lawdragon
592,Lawdragon,NY,10017,50,Business&LegalServices,Business to Business,Administrative Office of the United States Courts,AO,Federal,Lawdragon
593,Legal Science Partners,PA,19072,200,Business&LegalServices,Business to Government,Multiple government open data sources,,Other,Legal Science Partners
594,(Leg)Cyte,DC,20005,10,Governance,Business to Business,Multiple federal data sources,,Federal,(Leg)Cyte
595,"LegiNation, Inc.",CO,80203,10,Governance,Business to Consumer,Multiple government open data sources,,Other,"LegiNation, Inc."
596,"LegiNation, Inc.",CO,80203,10,Governance,Business to Consumer,Multiple government open data sources,,Other,"LegiNation, Inc."
597,LegiStorm,DC,20002,10,Governance,Business to Consumer,Multiple federal data sources,,Federal,LegiStorm
598,Lenddo,NY,0,200,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Lenddo
599,Lending Club,CA,94105,1000,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Lending Club
600,Level One Technologies,MO,63043,10,Data&Technology,Business to Business,Multiple state data sources,,State,Level One Technologies
601,Level One Technologies,MO,63043,10,Data&Technology,Business to Business,Multiple federal data sources,,Federal,Level One Technologies
602,LexisNexis,NY,10017,10001,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,LexisNexis
603,Liberty Mutual Insurance Cos.,MA,2116,10001,Insurance,Business to Consumer,Multiple government open data sources,,Other,Liberty Mutual Insurance Cos.
604,Lilly Open Innovation Drug Discovery,IN,46285,10,Scientific Research,Business to Business,Department of Health and Human Services,HHS,Federal,Lilly Open Innovation Drug Discovery
605,Liquid Robotics,CA,94089,200,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Liquid Robotics
606,Locavore,WI,53703,10,Food&Agriculture,Business to Consumer,Department of Agriculture,USDA,Federal,Locavore
607,Locavore,WI,53703,10,Food&Agriculture,Business to Consumer,Department of Commerce,USDC,Federal,Locavore
608,"LOGIXDATA, LLC",CA,95811,200,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,"LOGIXDATA, LLC"
609,LoopNet,CA,94107,500,Housing&RealEstate,Business to Consumer,Multiple city and local data sources,,City/County,LoopNet
610,"Loqate, Inc.",CA,94404,50,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Loqate, Inc."
611,LoseIt.com,MA,2210,50,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,LoseIt.com
612,LOVELAND Technologies,MI,48226,10,Data&Technology,Nonprofit,Multiple government open data sources,,Other,LOVELAND Technologies
613,Lucid,CA,94607,50,Energy,Business to Business,Department of Commerce,USDC,Federal,Lucid
614,Lucid,CA,94607,50,Energy,Business to Business,Department of Energy,DOE,Federal,Lucid
615,Lucid,CA,94607,50,Energy,Business to Business,Department of Energy,DOE,Federal,Lucid
616,Lucid,CA,94607,50,Energy,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Lucid
617,"Lumesis, Inc.",CT,6901,50,Data&Technology,Business to Business,Department of Labor,DOL,Federal,"Lumesis, Inc."
618,"Lumesis, Inc.",CT,6901,50,Data&Technology,Business to Business,Department of Labor,DOL,Federal,"Lumesis, Inc."
619,"Lumesis, Inc.",CT,6901,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,"Lumesis, Inc."
620,Mango Transit,WA,0,10,Geospatial&Mapping,Business to Consumer,Multiple city and local data sources,,City/County,Mango Transit
621,Mapbox,DC,20009,50,Geospatial&Mapping,Business to Government,Department of Agriculture,USDA,Federal,Mapbox
622,Mapbox,DC,20009,50,Geospatial&Mapping,Business to Government,Department of Commerce,USDC,Federal,Mapbox
623,Mapbox,DC,20009,50,Geospatial&Mapping,Business to Government,Department of the Interior,DOI,Federal,Mapbox
624,Mapbox,DC,20009,50,Geospatial&Mapping,Business to Government,National Aeronautics and Space Administration,NASA,Federal,Mapbox
625,Maponics,VT,5001,50,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Maponics
626,Maponics,VT,5001,50,Geospatial&Mapping,Business to Business,Multiple government open data sources,,Other,Maponics
627,MapQuest,CO,80202,200,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,MapQuest
628,MapQuest,CO,80202,200,Geospatial&Mapping,Business to Consumer,Multiple city and local data sources,,City/County,MapQuest
629,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Marinexplore, Inc."
630,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Marinexplore, Inc."
631,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Marinexplore, Inc."
632,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Marinexplore, Inc."
633,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Marinexplore, Inc."
634,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Marinexplore, Inc."
635,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Marinexplore, Inc."
636,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,"Marinexplore, Inc."
637,"Marinexplore, Inc.",CA,94085,10,Geospatial&Mapping,Business to Business,National Aeronautics and Space Administration,NASA,Federal,"Marinexplore, Inc."
638,MarketSense,WA,98075,10,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,MarketSense
639,Marlin & Associates,NY,10022,50,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,Marlin & Associates
640,Marlin Alter and Associates,FL,0,10,Business&LegalServices,Business to Consumer,Multiple government open data sources,,Other,Marlin Alter and Associates
641,McGraw Hill Financial,NY,10020,10001,Finance&Investment,Business to Business,Multiple state data sources,,State,McGraw Hill Financial
642,McGraw Hill Financial,NY,10020,10001,Finance&Investment,Business to Business,Multiple federal data sources,,Federal,McGraw Hill Financial
643,McKinsey,NY,10022,10001,Research&Consulting,Business to Government,Multiple government open data sources,,Other,McKinsey
644,MedWatcher,MA,2115,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,MedWatcher
645,Mercaris,MD,20910,10,Food&Agriculture,Business to Consumer,Department of Agriculture,USDA,Federal,Mercaris
646,Mercaris,MD,20910,10,Food&Agriculture,Business to Consumer,Department of Agriculture,USDA,Federal,Mercaris
647,Merrill Corp.,MN,55108,10001,Data&Technology,Business to Business,Securities and Exchange Commission,SEC,Federal,Merrill Corp.
648,Merrill Lynch,NY,10080,10001,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Merrill Lynch
649,Merrill Lynch,NY,10080,10001,Finance&Investment,Business to Consumer,Multiple federal data sources,,Federal,Merrill Lynch
650,MetLife,NY,10166,10001,Insurance,Business to Consumer,Multiple government open data sources,,Other,MetLife
651,mHealthCoach,IL,60622,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,mHealthCoach
652,MicroBilt Corporation,GA,30144,500,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,MicroBilt Corporation
653,Microsoft Windows Azure Marketplace,WA,0,10001,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Microsoft Windows Azure Marketplace
654,Mint,CA,94043,10000,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Mint
655,Moody's,NY,10007,5000,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Moody's
656,Morgan Stanley,NY,10036,10001,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Morgan Stanley
657,Morgan Stanley,NY,10036,10001,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Morgan Stanley
658,"Morningstar, Inc.",IL,60602,5000,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,"Morningstar, Inc."
659,Mozio,CA,0,50,Transportation,Business to Business,Multiple city and local data sources,,City/County,Mozio
660,MuckRock.com,MA,0,10,Business&LegalServices,Business to Consumer,Multiple government open data sources,,Other,MuckRock.com
661,Munetrix,MI,48326,10,Governance,Business to Consumer,Department of Commerce,USDC,Federal,Munetrix
662,Munetrix,MI,48326,10,Governance,Business to Consumer,Department of Justice,DOJ,Federal,Munetrix
663,Munetrix,MI,48326,10,Governance,Business to Consumer,Multiple city and local data sources,,City/County,Munetrix
664,Munetrix,MI,48326,10,Governance,Business to Consumer,Multiple state data sources,,State,Munetrix
665,Municode,FL,32310,200,Business&LegalServices,Business to Business,Multiple city and local data sources,,City/County,Municode
666,National Van Lines,IL,60155,200,Transportation,Business to Government,Department of Commerce,USDC,Federal,National Van Lines
667,Nationwide Mutual Insurance Company,OH,0,10001,Insurance,Business to Consumer,Multiple government open data sources,,Other,Nationwide Mutual Insurance Company
668,Nautilytics,MA,2111,10,Data&Technology,Business to Consumer,Department of Agriculture,USDA,Federal,Nautilytics
669,Navico,NH,3063,5000,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Navico
670,NERA Economic Consulting,NY,0,1000,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,NERA Economic Consulting
671,NERA Economic Consulting,NY,0,1000,Research&Consulting,Business to Business,Multiple government open data sources,,Other,NERA Economic Consulting
672,NerdWallet,CA,94107,50,Finance&Investment,Business to Consumer,Department of Commerce,USDC,Federal,NerdWallet
673,NerdWallet,CA,94107,50,Finance&Investment,Business to Consumer,Department of Health and Human Services,HHS,Federal,NerdWallet
674,New Media Parents,CA,94105,10,Geospatial&Mapping,Business to Consumer,San Francisco,SF,City/County,New Media Parents
675,New Media Parents,CA,94105,10,Geospatial&Mapping,Business to Consumer,Seattle,SEA,City/County,New Media Parents
676,Next Step Living,MA,2210,1000,Energy,Business to Business,Department of Energy,DOE,Federal,Next Step Living
677,Next Step Living,MA,2210,1000,Energy,Business to Business,Multiple government open data sources,,Other,Next Step Living
678,NextBus,CA,94608,50,Transportation,Business to Government,Department of Commerce,USDC,Federal,NextBus
679,NextBus,CA,94608,50,Transportation,Business to Government,Multiple city and local data sources,,City/County,NextBus
680,nGAP Incorporated,CA,92003,50,Governance,Business to Government,Multiple government open data sources,,Other,nGAP Incorporated
681,nGAP Incorporated,CA,92003,50,Governance,Business to Government,Multiple government open data sources,,Other,nGAP Incorporated
682,Nielsen,NY,0,10001,Research&Consulting,Business to Consumer,Department of Commerce,USDC,Federal,Nielsen
683,Nielsen,NY,0,10001,Research&Consulting,Business to Consumer,Multiple government open data sources,,Other,Nielsen
684,Noesis,TX,78759,50,Energy,Business to Business,Department of Commerce,USDC,Federal,Noesis
685,Noesis,TX,78759,50,Energy,Business to Business,Department of Commerce,USDC,Federal,Noesis
686,NonprofitMetrics,DC,20005,10,Data&Technology,Business to Business,Department of the Treasury,,Federal,NonprofitMetrics
687,North American Van Lines,IN,46801,1000,Transportation,Business to Consumer,Department of Commerce,USDC,Federal,North American Van Lines
688,Noveda Technologies,NJ,0,200,Data&Technology,Business to Government,Department of Energy,DOE,Federal,Noveda Technologies
689,NuCivic,NY,10013,50,Governance,Nonprofit,Federal Deposit Insurance Corporation,FDIC,Federal,NuCivic
690,NuCivic,NY,10013,50,Governance,Nonprofit,Multiple federal data sources,,Federal,NuCivic
691,Numedii,CA,94301,10,Scientific Research,Business to Government,Department of Health and Human Services,HHS,Federal,Numedii
692,Oliver Wyman,NY,10036,5000,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,Oliver Wyman
693,Oliver Wyman,NY,10036,5000,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Oliver Wyman
694,OnDeck,NY,10018,500,Finance&Investment,Business to Consumer,Department of Labor,DOL,Federal,OnDeck
695,OnDeck,NY,10018,500,Finance&Investment,Business to Consumer,Department of Commerce,USDC,Federal,OnDeck
696,OnDeck,NY,10018,500,Finance&Investment,Business to Consumer,Department of the Treasury,,Federal,OnDeck
697,OnDeck,NY,10018,500,Finance&Investment,Business to Consumer,Small Business Administration,SBA,Federal,OnDeck
698,OnDeck,NY,10018,500,Finance&Investment,Business to Consumer,Multiple state data sources,,State,OnDeck
699,OnStar,MI,48090,10001,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,OnStar
700,"Ontodia, Inc",NY,10013,10,Data&Technology,Business to Government,Multiple city and local data sources,,City/County,"Ontodia, Inc"
701,"Ontodia, Inc",NY,10013,10,Data&Technology,Business to Government,New York,NY,State,"Ontodia, Inc"
702,"Ontodia, Inc",NY,10013,10,Data&Technology,Business to Government,New York City,NYC,City/County,"Ontodia, Inc"
703,Onvia,WA,98101,200,Governance,Business to Business,Multiple government open data sources,,Other,Onvia
704,Open Data Nation,DC,20011,10,Research&Consulting,Business to Business,Multiple city and local data sources,,City/County,Open Data Nation
705,OpenCounter,CA,95062,10,Governance,Business to Government,Santa Cruz,SC,City/County,OpenCounter
706,OpenCounter,CA,95062,10,Governance,Business to Government,Multiple city and local data sources,,City/County,OpenCounter
707,OpenGov,CA,94043,50,Governance,Business to Government,Multiple city and local data sources,,City/County,OpenGov
708,OpenGov,CA,94043,50,Governance,Business to Government,Multiple state data sources,,State,OpenGov
709,OpenPlans,NY,10013,50,Governance,Business to Consumer,Multiple city and local data sources,,City/County,OpenPlans
710,"OpportunitySpace, Inc.",MA,2163,10,Housing&RealEstate,Business to Consumer,Louisville,LVL,City/County,"OpportunitySpace, Inc."
711,"OpportunitySpace, Inc.",MA,2163,10,Housing&RealEstate,Business to Consumer,Multiple city and local data sources,,City/County,"OpportunitySpace, Inc."
712,Optensity,VA,22101,10,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Optensity
713,optiGov,NJ,7030,10,Governance,Business to Government,Multiple city and local data sources,,City/County,optiGov
714,OptumInsight,MN,55344,10001,Healthcare,Business to Consumer,Multiple state data sources,,State,OptumInsight
715,OptumInsight,MN,55344,10001,Healthcare,Business to Consumer,Multiple federal data sources,,Federal,OptumInsight
716,Orlin Research,CA,90069,10,Data&Technology,Academia,Department of Commerce,USDC,Federal,Orlin Research
717,Orlin Research,CA,90069,10,Data&Technology,Academia,Department of Health and Human Services,HHS,Federal,Orlin Research
718,OSIsoft,CA,94577,1000,Data&Technology,Business to Business,Multiple federal data sources,,Federal,OSIsoft
719,OTC Markets,NY,10013,200,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,OTC Markets
720,Outline,NJ,8873,500,Governance,Business to Consumer,Multiple government open data sources,,Other,Outline
721,Oversight Systems,GA,30067,200,Business&LegalServices,Business to Business,Department of Justice,DOJ,Federal,Oversight Systems
722,Overture Technologies,MD,20815,10,Data&Technology,Business to Consumer,Department of Commerce,USDC,Federal,Overture Technologies
723,Overture Technologies,MD,20815,10,Data&Technology,Business to Consumer,Department of Education,ED / DOED,Federal,Overture Technologies
724,Overture Technologies,MD,20815,10,Data&Technology,Business to Consumer,Department of the Treasury,,Federal,Overture Technologies
725,Owler,CA,94402,200,Business&LegalServices,Business to Business,Securities and Exchange Commission,SEC,Federal,Owler
726,Palantir Technologies,CA,94301,1000,Data&Technology,Business to Business,Multiple federal data sources,,Federal,Palantir Technologies
727,Panjiva,NY,10010,50,Data&Technology,Business to Business,Department of Homeland Security,DHS,Federal,Panjiva
728,Parsons Brinckerhoff,NY,10119,10001,Transportation,Business to Business,Department of the Interior,DOI,Federal,Parsons Brinckerhoff
729,Parsons Brinckerhoff,NY,10119,10001,Transportation,Business to Business,Montgomery County,,City/County,Parsons Brinckerhoff
730,Patently-O,MO,65211,10,Media,Business to Consumer,Department of Commerce,USDC,Federal,Patently-O
731,Patently-O,MO,65211,10,Media,Business to Consumer,Administrative Office of the United States Courts,AO,Federal,Patently-O
732,PatientsLikeMe,MA,2141,200,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,PatientsLikeMe
733,Pave,NY,10013,10,Finance&Investment,Business to Business,Arkansas,AR,State,Pave
734,Pave,NY,10013,10,Finance&Investment,Business to Business,Department of Labor,DOL,Federal,Pave
735,Pave,NY,10013,10,Finance&Investment,Business to Business,Colorado,CO,State,Pave
736,Pave,NY,10013,10,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,Pave
737,Pave,NY,10013,10,Finance&Investment,Business to Business,Florida,FL,State,Pave
738,Pave,NY,10013,10,Finance&Investment,Business to Business,Tennessee,TN,State,Pave
